latitude,longitude,id_package,guide_ivoy,guide,valid_info,description,id_client
0.000000000000000000000000000000,0.000000000000000000000000000000,1055710,002034111P001055710,07614849816200100036,1,"Paquete en almacen iVoy",78788
19.369516800000000000000000000000,-99.136722600000010000000000000000,1055711,002034112P001055711,07615215736200100033,2,"Paquete en almacen iVoy",78788
19.445844700000000000000000000000,-99.149766400000000000000000000000,1055712,002034114P001055712,07615113465000100037,2,"Paquete en almacen iVoy",78788
0.000000000000000000000000000000,0.000000000000000000000000000000,1055714,002034116P001055714,08115175042500100039,1,"Paquete en almacen iVoy",78793
19.352949000000000000000000000000,-99.192652900000000000000000000000,1055715,002034117P001055715,08115164672500100032,2,"Paquete en almacen iVoy",78793
19.409673100000000000000000000000,-99.139557500000000000000000000000,1055716,002034118P001055716,07615202929500100032,2,"Paquete en almacen iVoy",78788
19.439690100000000000000000000000,-99.122994999999990000000000000000,1055717,002034120P001055717,07615054989600100030,2,"Paquete en almacen iVoy",78788
19.433330000000000000000000000000,-99.190913400000000000000000000000,1055718,002034119P001055718,08115175528200100031,2,"Paquete en almacen iVoy",78793
19.464635200000000000000000000000,-99.111964600000000000000000000000,1055720,002034121P001055720,07615218175500100034,2,"Paquete en almacen iVoy",78788
0.000000000000000000000000000000,0.000000000000000000000000000000,1055721,002034122P001055721,07615191307500100033,1,"Paquete en almacen iVoy",78788
19.449881200000000000000000000000,-99.135635900000000000000000000000,1055722,002034123P001055722,07615213535600100030,2,"Paquete en almacen iVoy",78788
19.618733800000000000000000000000,-99.227814300000000000000000000000,1055725,002034126P001055725,07615196725100100034,2,"Paquete en almacen iVoy",78788
0.000000000000000000000000000000,0.000000000000000000000000000000,1055726,002034125P001055726,07615069644400100032,1,"Paquete en almacen iVoy",78788
19.353268300000000000000000000000,-99.056912900000000000000000000000,1055727,002034127P001055727,07615148391400100031,2,"Paquete en almacen iVoy",78788
19.457002700000000000000000000000,-99.213833700000000000000000000000,1055728,002034128P001055728,07615054345700100033,2,"Paquete en almacen iVoy",78788
19.396078600000000000000000000000,-99.135605800000000000000000000000,1055729,002034129P001055729,08115175094500100038,2,"Paquete en almacen iVoy",78793
19.437052700000000000000000000000,-99.164006899999990000000000000000,1055730,002034130P001055730,08115201048900100031,2,"Paquete en almacen iVoy",78793
19.436076200000000000000000000000,-99.071908299999990000000000000000,1055731,002034132P001055731,08115175664100100037,2,"Paquete en almacen iVoy",78793
19.422337700000000000000000000000,-99.224293500000000000000000000000,1055732,002034131P001055732,07615148134700100031,2,"Paquete en almacen iVoy",78788
19.363773900000000000000000000000,-99.232417300000000000000000000000,1055733,002034135P001055733,07615211249900100035,2,"Paquete en almacen iVoy",78788
19.518571300000000000000000000000,-99.077846000000010000000000000000,1055734,002034133P001055734,07615003027900100032,2,"Paquete en almacen iVoy",78788
19.429663500000000000000000000000,-99.185984100000000000000000000000,1055735,002034136P001055735,08115170603500100037,2,"Paquete en almacen iVoy",78793
0.000000000000000000000000000000,0.000000000000000000000000000000,1055736,002034134P001055736,08115182299300100039,1,"Paquete en almacen iVoy",78793
19.380416700000000000000000000000,-99.174086300000010000000000000000,1055737,002034137P001055737,08015163411200100034,2,"Paquete en almacen iVoy",78794
0.000000000000000000000000000000,0.000000000000000000000000000000,1055738,002034138P001055738,07615214697900100031,1,"Paquete en almacen iVoy",78788
0.000000000000000000000000000000,0.000000000000000000000000000000,1055740,002034139P001055740,07615216600800100030,1,"Paquete en almacen iVoy",78788
19.428112700000000000000000000000,-99.187745100000000000000000000000,1055741,002034144P001055741,07614816064800100037,2,"Paquete en almacen iVoy",78788
19.417041900000000000000000000000,-99.232286199999990000000000000000,1055742,002034141P001055742,08115201247900100038,2,"Paquete en almacen iVoy",78793
19.427624300000000000000000000000,-99.198672000000000000000000000000,1055743,002034140P001055743,08115175384200100033,2,"Paquete en almacen iVoy",78793
0.000000000000000000000000000000,0.000000000000000000000000000000,1055744,002034142P001055744,08115175698800100035,1,"Paquete en almacen iVoy",78793
19.359497000000000000000000000000,-99.177955700000000000000000000000,1055747,002034151P001055747,08015168266300100034,2,"Paquete en almacen iVoy",78794
19.374319300000000000000000000000,-99.167304899999990000000000000000,1055748,002034148P001055748,08015188755000100030,2,"Paquete en almacen iVoy",78794
19.361915200000000000000000000000,-99.143996700000000000000000000000,1055749,002034147P001055749,08115191103700100033,2,"Paquete en almacen iVoy",78793
19.350254500000000000000000000000,-99.291034099999990000000000000000,1055750,002034149P001055750,08115185830700100037,2,"Paquete en almacen iVoy",78793
19.417377500000000000000000000000,-99.244022800000000000000000000000,1055751,002034154P001055751,08015169143400100036,2,"Paquete en almacen iVoy",78794
19.557119700000000000000000000000,-99.264894700000010000000000000000,1055752,002034152P001055752,07615214516700100037,2,"Paquete en almacen iVoy",78788
0.000000000000000000000000000000,0.000000000000000000000000000000,1055753,002034150P001055753,08015171392400100033,1,"Paquete en almacen iVoy",78794
19.385901500000000000000000000000,-99.272310300000000000000000000000,1055754,002034153P001055754,08015115817900100030,2,"Paquete en almacen iVoy",78794
19.418858900000000000000000000000,-99.158232300000010000000000000000,1055755,002034156P001055755,08015174275600100034,2,"Paquete en almacen iVoy",78794
0.000000000000000000000000000000,0.000000000000000000000000000000,1055756,002034157P001055756,08015173635100100032,1,"Paquete en almacen iVoy",78794
19.291046200000000000000000000000,-99.146742500000000000000000000000,1055757,002034158P001055757,08115176929000100037,2,"Paquete en almacen iVoy",78793
19.432558800000000000000000000000,-99.214288099999990000000000000000,1055758,002034155P001055758,08015198040400100030,2,"Paquete en almacen iVoy",78794
19.480571700000000000000000000000,-99.183567299999990000000000000000,1055759,002034159P001055759,08115202073400100037,2,"Paquete en almacen iVoy",78793
19.362222200000000000000000000000,-99.188888900000000000000000000000,1055760,002034160P001055760,08115175526400100035,2,"Paquete en almacen iVoy",78793
19.348816400000000000000000000000,-99.261760299999990000000000000000,1055761,002034161P001055761,08015194912300100035,2,"Paquete en almacen iVoy",78794
19.321673500000000000000000000000,-99.232446900000010000000000000000,1055764,002034164P001055764,08015190270000100033,2,"Paquete en almacen iVoy",78794
19.356135300000000000000000000000,-99.183788900000000000000000000000,1055765,002034163P001055765,08015193340000100030,2,"Paquete en almacen iVoy",78794
19.282291600000000000000000000000,-99.165832500000000000000000000000,1055766,002034165P001055766,08115189776800100033,2,"Paquete en almacen iVoy",78793
0.000000000000000000000000000000,0.000000000000000000000000000000,1055767,002034166P001055767,08115194420100100034,1,"Paquete en almacen iVoy",78793
0.000000000000000000000000000000,0.000000000000000000000000000000,1055768,002034167P001055768,08015194256200100031,1,"Paquete en almacen iVoy",78794
19.420726400000000000000000000000,-99.165341700000000000000000000000,1055769,002034168P001055769,08015172107700100039,2,"Paquete en almacen iVoy",78794
19.467680400000000000000000000000,-99.052906800000000000000000000000,1055770,002034171P001055770,08015200954100100037,2,"Paquete en almacen iVoy",78794
19.365742100000000000000000000000,-99.150974800000010000000000000000,1055771,002034169P001055771,08015136619500100037,2,"Paquete en almacen iVoy",78794
19.365976900000000000000000000000,-99.179678700000000000000000000000,1055772,002034170P001055772,08015174069400100031,2,"Paquete en almacen iVoy",78794
19.350254500000000000000000000000,-99.291034099999990000000000000000,1055773,002034172P001055773,08115185830700200034,2,"Paquete en almacen iVoy",78793
19.350948500000000000000000000000,-99.296808200000000000000000000000,1055774,002034173P001055774,08015198577700100038,2,"Paquete en almacen iVoy",78794
19.382194400000000000000000000000,-99.156796200000000000000000000000,1055776,002034174P001055776,08015201623900100033,2,"Paquete en almacen iVoy",78794
19.562400200000000000000000000000,-99.057808999999990000000000000000,1055777,002034175P001055777,08015202063200100033,2,"Paquete en almacen iVoy",78794
0.000000000000000000000000000000,0.000000000000000000000000000000,1055779,002034177P001055779,08015197818500100035,1,"Paquete en almacen iVoy",78794
19.424575000000000000000000000000,-99.213585900000000000000000000000,1055780,002034178P001055780,08015201502700100033,2,"Paquete en almacen iVoy",78794
0.000000000000000000000000000000,0.000000000000000000000000000000,1055781,002034179P001055781,08015202304300100036,1,"Paquete en almacen iVoy",78794
19.336962800000000000000000000000,-99.248067300000000000000000000000,1055783,002034183P001055783,08015193768400100038,2,"Paquete en almacen iVoy",78794
0.000000000000000000000000000000,0.000000000000000000000000000000,1055784,002034181P001055784,08015190576700100039,1,"Paquete en almacen iVoy",78794
19.345883600000000000000000000000,-99.266837600000000000000000000000,1055785,002034180P001055785,08115192967300100034,2,"Paquete en almacen iVoy",78793
